Baseline | zeros_mse=24.776535 | c0_mse=24.749281
Epoch 001 | train_loss=0.032146 | val_loss=0.030658
Epoch 002 | train_loss=0.032035 | val_loss=0.030463
Epoch 003 | train_loss=0.031885 | val_loss=0.030239
Epoch 004 | train_loss=0.031555 | val_loss=0.029751
Epoch 005 | train_loss=0.030536 | val_loss=0.027972
Epoch 006 | train_loss=0.024110 | val_loss=0.012065
Epoch 007 | train_loss=0.007730 | val_loss=0.003823
Epoch 008 | train_loss=0.003301 | val_loss=0.002596
Epoch 009 | train_loss=0.002444 | val_loss=0.001960
Epoch 010 | train_loss=0.001876 | val_loss=0.001483
Epoch 011 | train_loss=0.001523 | val_loss=0.001325
Epoch 012 | train_loss=0.001361 | val_loss=0.001190
Epoch 013 | train_loss=0.001205 | val_loss=0.001037
Epoch 014 | train_loss=0.001061 | val_loss=0.000907
Epoch 015 | train_loss=0.000930 | val_loss=0.000809
Epoch 016 | train_loss=0.000818 | val_loss=0.000719
Epoch 017 | train_loss=0.000725 | val_loss=0.000638
Epoch 018 | train_loss=0.000649 | val_loss=0.000587
Epoch 019 | train_loss=0.000589 | val_loss=0.000543
Epoch 020 | train_loss=0.000547 | val_loss=0.000496
Epoch 021 | train_loss=0.000510 | val_loss=0.000476
Epoch 022 | train_loss=0.000492 | val_loss=0.000460
Epoch 023 | train_loss=0.000478 | val_loss=0.000447
Early stopping at epoch 23 (best_val=0.000809)
runtime_sec: 4424.249
